Inspection Done|2023-3-21-12:22:59
Inspection Done|2023-3-21-14:24:46
Inspection Done|2023-3-21-14:34:1
Inspection Done|2023-3-21-14:37:43
Inspection Done|2023-3-21-14:38:54
Inspection Done|2023-3-21-14:42:4
Inspection Done|2023-3-21-14:44:25
Inspection Done|2023-3-21-14:47:45
Inspection Done|2023-3-21-14:49:34
2023-3-21-15:46:14: RLTNTA004P6002429|Inspection Done |
2023-3-21-17:11:54: RLTNTA002P6002431|Inspection Done |
2023-3-21-18:6:39: RLTNTA004P6002432|Inspection Done |
2023-3-21-18:39:47: RLTNTA006P6002433|Inspection Done |
2023-3-22-8:2:41: RLTNTA008P6002434|Inspection Done |
2023-3-22-8:50:14: RLTNTA00XP6002435|Inspection Done |
2023-3-22-9:3:42: RLTNTA008P6002420|Inspection Done |
2023-3-22-9:12:6: RLTNTA008P6002420|Inspection Done |
2023-3-22-9:19:10: RLTNTA001P6002436|Inspection Done |
2023-3-22-9:50:2: RLTNTA003P6002437|Inspection Done |
2023-3-22-13:14:42: RLTNTA007P6002439|Inspection Done |
2023-3-22-16:24:54: RLTNTA002P6002445|Inspection Done |
2023-3-23-8:3:5: RLTNTA00XP6002449|Inspection Done |
Inspection Done|2023-3-23-8:9:25
2023-3-23-9:10:14: RLTNTA008P6002451|Inspection Done |
2023-3-23-9:19:1: RLTNTA008P6002451|Inspection Done |
2023-3-23-9:19:3: RLTNTA008P6002451|Inspection Done |
2023-3-23-9:19:59: RLTNTA008P6002451|Inspection Done |
2023-3-23-9:20:2: RLTNTA008P6002451|Inspection Done |
2023-3-23-9:33:45: RLTNTA00XP6002452|Inspection Done |
2023-3-23-9:33:47: RLTNTA00XP6002452|Inspection Done |
2023-3-23-10:52:18: RLTNTA008P6002420|Inspection Failed |
2023-3-23-10:53:11: RLTNTA008P6002420|Inspection Failed |
2023-3-23-11:39:52: RLTNTA008P6002420|Inspection Failed |
2023-3-28-8:33:36: RLTFZM222P6002481|Inspection Done |
2023-3-28-8:36:22: RLTFZM222P6002481|Inspection Done |
2023-3-28-8:36:42: RLTFZM222P6002481|Inspection Done |
2023-3-28-10:48:50: RLTFZM226P6002483|Inspection Done |
2023-3-28-10:48:54: RLTFZM226P6002483|Inspection Done |
2023-3-28-11:56:49: RLTFZM22XP6002485|Inspection Done |
2023-3-28-11:56:52: RLTFZM22XP6002485|Inspection Done |
2023-3-28-12:20:44: RLTFZM22XP6002485|Inspection Done |
2023-3-28-12:20:47: RLTFZM22XP6002485|Inspection Done |
2023-3-29-12:3:17: RLTFZA224P6002495|Inspection Done |
2023-3-29-12:17:39: RLTFZA226P6002496|Inspection Done |
2023-3-29-13:49:45: RLTFZA228P6002497|Inspection Done |
2023-3-29-14:37:48: RLTFZA22XP6002498|Inspection Done |
2023-3-29-15:35:37: RLTFZR223P6002499|Inspection Done |
2023-3-30-8:27:11: RLTNTG008P6002503|Inspection Failed |
2023-3-30-9:1:9: RLTNTG00XP6002504|Inspection Failed |
2023-3-30-9:56:28: RLTNTG001P6002505|Inspection Done |
2023-3-30-10:37:54: RLTNTG003P6002506|Inspection Done |
2023-3-30-11:20:19: RLTNTG005P6002507|Inspection Done |
2023-3-30-11:57:42: RLTNTG007P6002508|Inspection Done |
2023-3-30-13:30:3: RLTNTG005P6002510|Inspection Done |
2023-3-30-14:0:40: RLTNTG007P6002511|Inspection Done |
2023-3-30-14:38:1: RLTNTG009P6002512|Inspection Done |
2023-3-30-15:27:57: RLTNTG000P6002513|Inspection Done |
2023-3-30-16:0:11: RLTNTG002P6002514|Inspection Failed |
2023-3-30-16:6:40: RLTNTG002P6002514|Inspection Done |
2023-3-30-16:42:5: RLTNTC003P6002515|Inspection Done |
